Year,Team,M,W,L,Pts,NRR,Performance Classifications
2020,Rajasthan Royals,14,6,8,12,-0.56,Struggling Team
2020,Punjab Kings,14,6,8,12,-0.16,Mid-Table Team
2020,Chennai Super Kings,14,6,8,10,-0.45,Struggling Team
2021,Delhi Capitals,14,10,3,20,0.481,Dominant Performer
2021,Chennai Super Kings,14,9,5,18,0.455,Dominant Performer
2021,Royal Challengers Bengaluru,14,9,5,18,-0.14,Playoff Contender
2021,Kolkata Knight Riders,14,7,7,14,0.587,Playoff Contender
2021,Mumbai Indians,14,6,7,12,0.116,Mid-Table Team
2021,Punjab Kings,14,6,8,12,-0.001,Mid-Table Team
2021,Rajasthan Royals,14,5,9,10,-0.993,Struggling Team
2021,Sunrisers Hyderabad,14,3,11,4,-0.545,Struggling Team
2022,Gujarat Titans,14,10,4,20,0.316,Dominant Performer
2022,Rajasthan Royals,14,9,5,18,0.298,Dominant Performer
2022,Lucknow Supergiants,14,9,5,18,0.251,Playoff Contender
2022,Royal Challengers Bengaluru,14,8,6,16,-0.253,Playoff Contender
2022,Delhi Capitals,14,7,7,14,0.204,Mid-Table Team
2022,Punjab Kings,14,7,7,14,0.126,Mid-Table Team
2022,Kolkata Knight Riders,14,6,8,12,0.146,Mid-Table Team
2022,Sunrisers Hyderabad,14,6,8,12,-0.379,Mid-Table Team
2022,Mumbai Indians,14,4,10,8,-0.506,Struggling Team
2022,Chennai Super Kings,14,4,10,8,-0.203,Struggling Team
2023,Gujarat Titans,14,10,4,20,0.809,Dominant Performer
2023,Chennai Super Kings,14,8,5,17,0.65,Dominant Performer
2023,Lucknow Supergiants,14,8,5,17,0.284,Playoff Contender
2023,Mumbai Indians,14,8,6,16,-0.044,Playoff Contender
2023,Rajasthan Royals,14,7,7,14,0.148,Mid-Table Team
2023,Royal Challengers Bengaluru,14,7,7,14,0.135,Mid-Table Team
2023,Punjab Kings,14,6,8,12,-0.304,Mid-Table Team
2023,Kolkata Knight Riders,14,6,8,12,-0.239,Mid-Table Team
2023,Delhi Capitals,14,5,9,10,-0.808,Struggling Team
2023,Sunrisers Hyderabad,14,4,10,8,-0.59,Struggling Team
2024,Kolkata Knight Riders,14,9,3,20,1.428,Dominant Performer
2024,Sunrisers Hyderabad,14,8,5,17,0.414,Dominant Performer
2024,Rajasthan Royals,14,8,5,17,0.273,Playoff Contender
2024,Royal Challengers Bengaluru,14,7,7,14,0.459,Playoff Contender
2024,Chennai Super Kings,14,7,7,14,0.392,Mid-Table Team
2024,Lucknow Supergiants,14,7,7,14,-0.667,Mid-Table Team
2024,Delhi Capitals,14,7,7,14,-0.377,Mid-Table Team
2024,Gujarat Titans,14,5,7,12,-1.063,Mid-Table Team
2024,Punjab Kings,14,5,9,10,-0.353,Struggling Team
2024,Mumbai Indians,14,4,10,8,-0.318,Struggling Team
