Team,Business Value-million (USD)
Punjab Kings,45
Lucknow Super Gaints,47
Sunrisers Hyderabad,48
Rajasthan Royals,63
Delhi Capitals,64
Gujarat Titans ,65
Royal Challengers Bangalore,70
Kolkata Knight Riders ,79
Chennai Super Kings,81
Mumbai Indians,87
