Player,Runs,HS,Balls,4s,6s,SR,Team,Opposition,Ground,Match Date,total hundreds,total runs by 100s
JC Buttler,124,124,64,11,8,193.75,RR,v SRH,Delhi,02-05-2021,7,756
RD Gaikwad,101,101,60,9,5,168.33,CSK,v RR,Abu Dhabi,02-10-2021,2,209
JC Buttler,100,100,68,11,5,147.05,RR,v MI,DY Patil,02-04-2022,7,756
KL Rahul,103,103,60,9,5,171.66,LSG,v MI,Brabourne,16-04-2022,4,438
JC Buttler,103,103,61,9,5,168.85,RR,v KKR,Brabourne,18-04-2022,7,756
JC Buttler,116,116,65,9,9,178.46,RR,v DC,Wankhede,22-04-2022,7,756
KL Rahul,103,103,62,12,4,166.12,LSG,v MI,Wankhede,24-04-2022,4,438
Q de Kock,140,140,70,10,10,200,LSG,v KKR,DY Patil,18-05-2022,2,248
RM Patidar,112,112,54,12,7,207.4,RCB,v LSG,Eden Gardens,25-05-2022,1,112
JC Buttler,106,106,60,10,6,176.66,RR,v RCB,Ahmedabad,27-05-2022,7,756
HC Brook,100,100,55,12,3,181.81,SRH,v KKR,Eden Gardens,14-04-2023,1,100
VR Iyer,104,104,51,6,9,203.92,KKR,v MI,Wankhede,16-04-2023,1,104
YBK Jaiswal,124,124,62,16,8,200,RR,v MI,Wankhede,30-04-2023,2,228
SA Yadav,103,103,49,11,6,210.2,MI,v GT,Wankhede,12-05-2023,2,205
Prabhsimran Singh,103,103,65,10,6,158.46,Punjab Kings,v DC,Delhi,13-05-2023,1,103
Shubman Gill,101,101,58,13,1,174.13,GT,v SRH,Ahmedabad,15-05-2023,3,334
H Klaasen,104,104,51,8,6,203.92,SRH,v RCB,Hyderabad,18-05-2023,1,104
V Kohli,100,100,63,12,4,158.73,RCB,v SRH,Hyderabad,18-05-2023,8,844
C Green,100,100,47,8,8,212.76,MI,v SRH,Wankhede,21-05-2023,1,100
V Kohli,101,101,61,13,1,165.57,RCB,v GT,Bengaluru,21-05-2023,8,844
Shubman Gill,104,104,52,5,8,200,GT,v RCB,Bengaluru,21-05-2023,3,334
Shubman Gill,129,129,60,7,10,215,GT,v MI,Ahmedabad,26-05-2023,3,334
V Kohli,113,113,72,12,4,156.94,RCB,v RR,Jaipur,06-04-2024,8,844
JC Buttler,100,100,58,9,4,172.41,RR,v RCB,Jaipur,06-04-2024,7,756
RG Sharma,105,105,63,11,5,166.66,MI,v CSK,Wankhede,14-04-2024,2,214
TM Head,102,102,41,9,8,248.78,SRH,v RCB,Bengaluru,15-04-2024,1,102
SP Narine,109,109,56,13,6,194.64,KKR,v RR,Eden Gardens,16-04-2024,1,109
JC Buttler,107,107,60,9,6,178.33,RR,v KKR,Eden Gardens,16-04-2024,7,756
YBK Jaiswal,104,104,60,9,7,173.33,RR,v MI,Jaipur,22-04-2024,2,228
RD Gaikwad,108,108,60,12,3,180,CSK,v LSG,Chennai,23-04-2024,2,209
MP Stoinis,124,124,63,13,6,196.82,LSG,v CSK,Chennai,23-04-2024,1,124
JM Bairstow,108,108,48,8,9,225,Punjab Kings,v KKR,Eden Gardens,26-04-2024,2,222
WG Jacks,100,100,41,5,10,243.9,RCB,v GT,Ahmedabad,28-04-2024,1,100
SA Yadav,102,102,51,12,6,200,MI,v SRH,Wankhede,06-05-2024,2,205
B Sai Sudharsan,103,103,51,5,7,201.96,GT,v CSK,Ahmedabad,10-05-2024,1,103
